Date,Open,High,Low,Close,Adj Close,Volume,Stock
2018-08-16,245.800003,252.800003,245.25,251.300003,250.519211,14148347,Tata Motors Limited (TATAMOTORS.NS)
2018-08-17,253.699997,260.100006,253.0,258.25,257.447601,16117660,Tata Motors Limited (TATAMOTORS.NS)
2018-08-20,261.850006,271.850006,259.200012,270.100006,269.260803,25576718,Tata Motors Limited (TATAMOTORS.NS)
2018-08-21,271.850006,274.700012,266.700012,268.799988,267.964813,19505584,Tata Motors Limited (TATAMOTORS.NS)
2018-08-23,269.200012,269.200012,256.0,256.899994,256.101807,18667622,Tata Motors Limited (TATAMOTORS.NS)
2018-08-24,257.0,258.649994,255.0,255.5,254.706161,8703468,Tata Motors Limited (TATAMOTORS.NS)
2018-08-27,257.0,259.5,256.5,258.799988,257.99588,6127707,Tata Motors Limited (TATAMOTORS.NS)
2018-08-28,261.700012,263.25,259.049988,260.0,259.192169,8506857,Tata Motors Limited (TATAMOTORS.NS)
2018-08-29,261.049988,263.5,261.0,261.700012,260.886902,5117552,Tata Motors Limited (TATAMOTORS.NS)
2018-08-30,262.299988,263.0,259.0,259.350006,258.544189,6333570,Tata Motors Limited (TATAMOTORS.NS)
2018-08-31,259.100006,268.25,258.100006,267.5,266.668884,12360078,Tata Motors Limited (TATAMOTORS.NS)
2018-09-03,271.399994,273.0,265.25,266.600006,265.771667,14597832,Tata Motors Limited (TATAMOTORS.NS)
2018-09-04,270.5,270.799988,260.350006,261.950012,261.136139,14775900,Tata Motors Limited (TATAMOTORS.NS)
2018-09-05,261.0,271.0,255.399994,266.5,265.671967,10084307,Tata Motors Limited (TATAMOTORS.NS)
2018-09-06,269.700012,272.0,263.850006,269.950012,269.111267,14736214,Tata Motors Limited (TATAMOTORS.NS)
2018-09-07,269.549988,279.899994,269.25,277.399994,276.538116,26189156,Tata Motors Limited (TATAMOTORS.NS)
2018-09-10,276.0,282.0,271.75,275.700012,274.843414,21322969,Tata Motors Limited (TATAMOTORS.NS)
2018-09-11,277.25,278.850006,265.700012,267.299988,266.469482,13444031,Tata Motors Limited (TATAMOTORS.NS)
2018-09-12,268.200012,268.200012,258.850006,262.399994,261.584717,14456273,Tata Motors Limited (TATAMOTORS.NS)
2018-09-14,265.0,269.600006,263.399994,266.600006,265.771667,10710620,Tata Motors Limited (TATAMOTORS.NS)
2018-09-17,263.350006,264.100006,259.649994,260.25,259.441406,9461420,Tata Motors Limited (TATAMOTORS.NS)
2018-09-18,257.75,259.799988,250.600006,251.5,250.718582,11554420,Tata Motors Limited (TATAMOTORS.NS)
2018-09-19,253.550003,255.0,251.0,252.600006,251.81517,7845650,Tata Motors Limited (TATAMOTORS.NS)
2018-09-21,255.050003,257.700012,228.850006,250.350006,249.572159,18547453,Tata Motors Limited (TATAMOTORS.NS)
2018-09-24,250.199997,251.0,239.350006,240.199997,239.45369,8889259,Tata Motors Limited (TATAMOTORS.NS)
2018-09-25,241.0,243.5,235.449997,240.800003,240.051834,9030367,Tata Motors Limited (TATAMOTORS.NS)
2018-09-26,242.300003,243.199997,229.550003,233.350006,232.624985,17810869,Tata Motors Limited (TATAMOTORS.NS)
2018-09-27,234.800003,236.550003,223.100006,225.25,224.55014,17430781,Tata Motors Limited (TATAMOTORS.NS)
2018-09-28,227.899994,230.699997,219.5,223.699997,223.004959,14196824,Tata Motors Limited (TATAMOTORS.NS)
2018-10-01,225.0,230.449997,220.0,229.350006,228.637421,9743094,Tata Motors Limited (TATAMOTORS.NS)
2018-10-03,230.0,232.800003,225.800003,227.600006,226.892853,9094685,Tata Motors Limited (TATAMOTORS.NS)
2018-10-04,224.0,230.800003,221.75,223.25,222.556366,13898979,Tata Motors Limited (TATAMOTORS.NS)
2018-10-05,222.75,226.449997,214.75,216.25,215.57811,10471026,Tata Motors Limited (TATAMOTORS.NS)
2018-10-08,217.800003,218.5,208.100006,212.350006,211.690231,11854170,Tata Motors Limited (TATAMOTORS.NS)
2018-10-09,205.699997,206.0,170.300003,184.350006,183.777222,142760251,Tata Motors Limited (TATAMOTORS.NS)
2018-10-10,186.0,190.949997,185.050003,188.75,188.163559,35670907,Tata Motors Limited (TATAMOTORS.NS)
2018-10-11,180.649994,187.75,178.0,182.949997,182.381577,19323517,Tata Motors Limited (TATAMOTORS.NS)
2018-10-12,185.949997,188.399994,182.600006,183.75,183.179092,18014894,Tata Motors Limited (TATAMOTORS.NS)
2018-10-15,186.5,186.5,182.699997,184.350006,183.777222,11658409,Tata Motors Limited (TATAMOTORS.NS)
2018-10-16,185.199997,187.25,184.550003,185.850006,185.272568,9695745,Tata Motors Limited (TATAMOTORS.NS)
2018-10-17,187.600006,187.800003,179.100006,179.949997,179.390884,12004524,Tata Motors Limited (TATAMOTORS.NS)
2018-10-19,178.949997,179.75,174.0,174.699997,174.157196,10469358,Tata Motors Limited (TATAMOTORS.NS)
2018-10-22,176.399994,176.850006,170.050003,170.75,170.219482,11721075,Tata Motors Limited (TATAMOTORS.NS)
2018-10-23,170.0,175.699997,169.550003,170.649994,170.119781,15588511,Tata Motors Limited (TATAMOTORS.NS)
2018-10-24,173.899994,175.0,169.0,170.649994,170.119781,15421903,Tata Motors Limited (TATAMOTORS.NS)
2018-10-25,168.949997,169.75,164.600006,165.350006,164.836258,14877057,Tata Motors Limited (TATAMOTORS.NS)
2018-10-26,166.0,172.800003,165.899994,168.5,167.976471,19584723,Tata Motors Limited (TATAMOTORS.NS)
2018-10-29,169.949997,176.5,167.699997,175.350006,174.805191,14171750,Tata Motors Limited (TATAMOTORS.NS)
2018-10-30,177.0,181.5,176.050003,177.25,176.69928,15602414,Tata Motors Limited (TATAMOTORS.NS)
2018-10-31,178.300003,180.0,173.449997,179.100006,178.543533,12579712,Tata Motors Limited (TATAMOTORS.NS)
2018-11-01,182.0,186.050003,178.199997,179.449997,178.892441,28947802,Tata Motors Limited (TATAMOTORS.NS)
2018-11-02,180.949997,191.850006,180.899994,190.300003,189.70874,29425248,Tata Motors Limited (TATAMOTORS.NS)
2018-11-05,191.300003,191.300003,186.649994,189.800003,189.210297,14818506,Tata Motors Limited (TATAMOTORS.NS)
2018-11-06,192.449997,199.949997,191.75,193.25,192.649567,35339222,Tata Motors Limited (TATAMOTORS.NS)
2018-11-07,194.949997,195.75,193.350006,194.850006,194.244598,3932893,Tata Motors Limited (TATAMOTORS.NS)
2018-11-09,192.899994,200.75,192.0,195.25,194.643356,22341961,Tata Motors Limited (TATAMOTORS.NS)
2018-11-12,194.449997,194.449997,185.199997,186.050003,185.471939,20789180,Tata Motors Limited (TATAMOTORS.NS)
2018-11-13,180.75,183.0,178.350006,179.5,178.942291,22189598,Tata Motors Limited (TATAMOTORS.NS)
2018-11-14,180.5,183.0,176.25,176.800003,176.250687,15795883,Tata Motors Limited (TATAMOTORS.NS)
2018-11-15,178.0,182.699997,177.5,180.199997,179.640106,18740276,Tata Motors Limited (TATAMOTORS.NS)
2018-11-16,180.899994,181.850006,177.850006,179.899994,179.341049,10022823,Tata Motors Limited (TATAMOTORS.NS)
2018-11-19,180.600006,185.5,179.100006,184.600006,184.026459,14522581,Tata Motors Limited (TATAMOTORS.NS)
